 Count  Overhead File                    Line Function
   512         0 …cers/src/processes.jl   519 #transduce#141
   512         0 …cers/src/processes.jl   301 __foldl__
   512         0 …cers/src/processes.jl   312 _foldl_product
   528         0 @Base/client.jl          531 _start()
   528         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
   528         0 @Base/Base.jl            562 include(mod::Module, _path::Strin…
   528         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
   528         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
   528         0 @Base/boot.jl            430 eval
   528         0 …solvers/DHCPSolver.jl   188 kwcall(::@NamedTuple{rtol::Float6…
Total snapshots: 598. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
