 Count  Overhead File                    Line Function
    38        38 @Base/essentials.jl      796 ifelse
    38         0 @Base/array.jl           589 zeros(::Type{Float64}, dims::NTup…
    38         0 @Base/boot.jl            594 Array
    38         0 @Base/boot.jl            588 Array
    40         0 …vers/AdjointSolver.jl   191 build_adjoint_system!(λ_initial::…
    40        40 @Base/math.jl              ? pow_body(x::Float64, n::Int64)
    40         0 …s/src/sparsematrix.jl  1269 sparse!(I::Vector{Int64}, J::Vect…
    43         0 @Base/operators.jl       634 \
    45         0 …s/src/sparsematrix.jl  1198 sparse!(I::Vector{Int64}, J::Vect…
    46         0 @Base/cartesian.jl        64 macro expansion
    48        48 @Base/float.jl           494 /
    50         0 …s/src/sparsematrix.jl  1260 sparse!(I::Vector{Int64}, J::Vect…
    51         0 …vers/AdjointSolver.jl   260 assemble_adjoint_matrix(ni::Int64…
    52        52 @Base/essentials.jl       11 length
    52         0 @Base/array.jl           929 getindex
    53         0 …s/src/sparsematrix.jl  4289 diag(A::SparseArrays.SparseMatrix…
    54         0 …s/src/sparsematrix.jl  1237 sparse!(I::Vector{Int64}, J::Vect…
    54        30 @Base/abstractarray.jl   699 checkbounds
    56        56 @Base/sort.jl              ? searchsortedfirst
    58         0 …s/src/sparsematrix.jl  1191 sparse!(I::Vector{Int64}, J::Vect…
    59         0 …s/src/sparsematrix.jl  1195 sparse!(I::Vector{Int64}, J::Vect…
    60         0 …s/src/sparsematrix.jl  1200 sparse!(I::Vector{Int64}, J::Vect…
    62         0 @Base/array.jl           796 collect(itr::Base.Generator{Spars…
    62         0 @Base/array.jl           676 _array_for
    63         0 @Base/abstractarray.jl   867 similar
    63         0 @Base/abstractarray.jl   868 similar
    65         0 @Base/abstractarray.jl  1196 zero
    69         0 …solvers/DHCPSolver.jl   257 assemble_dhcp_matrix(ni::Int64, n…
    75         0 …solvers/DHCPSolver.jl   409 solve_dhcp!(T_initial::Array{Floa…
    76         0 …vers/AdjointSolver.jl   259 assemble_adjoint_matrix(ni::Int64…
    77         0 @Base/array.jl          2356 findnext
    77         0 @Base/abstractarray.jl   216 nextind
    81         0 …s/src/sparsematrix.jl  1172 sparse!(I::Vector{Int64}, J::Vect…
    88         0 …solvers/DHCPSolver.jl   195 build_dhcp_system!(T_initial::Arr…
    92         0 …tiveSolvers/src/cg.jl   137 cg_iterator!(x::Vector{Float64}, …
    93         0 @Base/array.jl           367 similar
    94         0 …s/src/sparsematrix.jl  1176 sparse!(I::Vector{Int64}, J::Vect…
    95         0 …/ThermalProperties.jl    88 thermal_properties_calculator(Tem…
    96        96 @Base/array.jl          1115 _growend!
    97         0 …tiveSolvers/src/cg.jl   224 cg!(x::Vector{Float64}, A::Sparse…
    97         0 …tiveSolvers/src/cg.jl   120 cg_iterator!
    99         0 @Base/array.jl           589 zeros
   103         0 …s/src/sparsematrix.jl  4275 diag
   103       103 @Base/float.jl           491 +
   106         0 …s/src/sparsematrix.jl  1270 sparse!(I::Vector{Int64}, J::Vect…
   106         0 @Base/abstractarray.jl  1209 iterate
   110         0 @Base/generator.jl        45 iterate
