 Count  Overhead File                    Line Function
     3         0 …s/src/sparsematrix.jl  1250 sparse!(I::Vector{Int64}, J::Vect…
     3         3 @Base/simdloop.jl         75 macro expansion
     3         3 …s/src/sparsematrix.jl     ? diag(A::SparseArrays.SparseMatrix…
     3         0 @Base/broadcast.jl      1002 macro expansion
     3         0 …vers/AdjointSolver.jl   285 assemble_adjoint_matrix(ni::Int64…
     3         3 @Base/math.jl           1214 pow_body(x::Float64, n::Int64)
     3         3 …/ThermalProperties.jl     ? thermal_properties_calculator(Tem…
     3         3 @Base/math.jl           1213 pow_body(x::Float64, n::Int64)
     3         0 …vers/AdjointSolver.jl   191 build_adjoint_system!(λ_initial::…
     3         0 …s/src/sparsematrix.jl  1183 sparse!(I::Vector{Int64}, J::Vect…
     3         3 @Base/abstractarray.jl     ? iterate
     3         3 @Base/int.jl               ? thermal_properties_calculator(Tem…
     3         0 @Base/array.jl           993 setindex!
     3         0 …tiveSolvers/src/cg.jl    90 iterate(it::IterativeSolvers.PCGI…
     3         3 @Base/array.jl          1113 _growend!
     3         3 @Base/array.jl             ? assemble_adjoint_matrix(ni::Int64…
     4         0 …solvers/DHCPSolver.jl   180 build_dhcp_system!(T_initial::Sub…
     4         0 …tiveSolvers/src/cg.jl   138 cg_iterator!(x::Vector{Float64}, …
     4         0 …vers/AdjointSolver.jl   299 assemble_adjoint_matrix(ni::Int64…
     4         0 …/ThermalProperties.jl   101 thermal_properties_calculator(Tem…
     4         0 …s/src/sparsematrix.jl  1223 sparse!(I::Vector{Int64}, J::Vect…
     4         4 @Base/array.jl             ? assemble_dhcp_matrix(ni::Int64, n…
     4         0 …solvers/DHCPSolver.jl   298 assemble_dhcp_matrix(ni::Int64, n…
     4         0 …s/src/sparsematrix.jl  1268 sparse!(I::Vector{Int64}, J::Vect…
     4         0 …vers/AdjointSolver.jl   266 assemble_adjoint_matrix(ni::Int64…
     4         0 …solvers/DHCPSolver.jl   132 build_dhcp_system!(T_initial::Sub…
     4         0 …lgebra/src/generic.jl   604 norm(itr::Vector{Float64}, p::Int…
     4         0 …rAlgebra/src/dense.jl   106 norm2
     4         4 …s/src/sparsematrix.jl  1173 sparse!(I::Vector{Int64}, J::Vect…
     4         0 …s/src/sparsematrix.jl  1197 sparse!(I::Vector{Int64}, J::Vect…
     4         0 …solvers/DHCPSolver.jl   203 build_dhcp_system!(T_initial::Sub…
     4         0 …vers/AdjointSolver.jl   270 assemble_adjoint_matrix(ni::Int64…
     4         0 @Base/math.jl           1215 pow_body(x::Float64, n::Int64)
     4         0 @Base/abstractarray.jl  1347 _to_linear_index
     4         0 @Base/abstractarray.jl  3048 _sub2ind
     4         0 …vers/AdjointSolver.jl   174 build_adjoint_system!(λ_initial::…
     4         0 …vers/AdjointSolver.jl   112 build_adjoint_system!(λ_initial::…
     4         0 …vers/AdjointSolver.jl   165 build_adjoint_system!(λ_initial::…
     4         0 …s/src/sparsematrix.jl  1231 sparse!(I::Vector{Int64}, J::Vect…
     4         0 …vers/AdjointSolver.jl   118 build_adjoint_system!(λ_initial::…
     4         0 …vers/AdjointSolver.jl   306 assemble_adjoint_matrix(ni::Int64…
     4         0 @Base/array.jl          1110 _growend!
     4         0 …Algebra/src/matmul.jl    18 dot
     4         0 …arAlgebra/src/blas.jl   398 dot
     4         4 …arAlgebra/src/blas.jl   348 dot
     4         4 @Base/array.jl             ? push!
     4         4 @Base/abstractarray.jl     ? checkbounds
     4         0 …solvers/DHCPSolver.jl   123 build_dhcp_system!(T_initial::Sub…
     5         0 …vers/AdjointSolver.jl   284 assemble_adjoint_matrix(ni::Int64…
     5         2 …s/src/sparsematrix.jl  1265 sparse!(I::Vector{Int64}, J::Vect…
